id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
96-S,sportal,2023-06-23,202306,['Pe. M.'],810,0.684331,57,932.0,10584-R,0.623676,54,2673.0,5132-R,0.614915,48,2855.0,10608-R
97-S,slovenija,2023-06-23,202306,"['St. M.', 'STA']",572,0.772878,62,25.0,101-R,0.597069,63,160.0,103-R,0.581926,47,1005.0,111-R
98-S,digisvet,2023-06-23,202306,,1101,0.450989,68,2975.0,10612-R,0.43379,56,2652.0,5132-R,0.41603,65,149.0,103-R
99-S,trendi,2023-06-23,202306,"['N. V.', 'STA']",242,0.527109,64,958.0,16900-R,0.419691,60,4065.0,16925-R,0.331486,72,2938.0,144-R
100-S,planet-tv,2023-06-23,202306,['E. R.'],447,0.620094,69,2640.0,5132-R,0.603017,68,5279.0,10636-R,0.601653,73,3001.0,21006-R
101-S,slovenija,2023-06-23,202306,"['P. P.', 'Planet TV']",285,0.397659,51,4058.0,152-R,0.359809,60,5445.0,10641-R,0.358788,49,2993.0,21006-R
102-S,trendi,2023-06-23,202306,,856,0.531805,43,2955.0,10612-R,0.522223,66,129.0,103-R,0.521697,44,2198.0,131-R
103-S,sportal,2023-06-23,202306,['STA'],215,0.507622,44,5385.0,10640-R,0.506451,47,5681.0,10645-R,0.500671,49,2131.0,10598-R
104-S,planet-tv,2023-06-23,202306,['Planet TV'],289,0.336094,55,2931.0,10612-R,0.32797,45,2969.0,21006-R,0.323528,60,4366.0,5155-R
105-S,svet,2023-06-23,202306,"['Planet TV', 'St. M.', 'STA']",167,0.554859,62,2957.0,21006-R,0.511282,61,5657.0,10645-R,0.506376,61,5409.0,10641-R
106-S,slovenija,2023-06-23,202306,"['K. M.', 'A. P. K.']",573,0.652004,64,2876.0,144-R,0.52167,60,2221.0,10600-R,0.486355,59,735.0,105-R
107-S,slovenija,2023-06-23,202306,"['K. M.', 'STA']",887,0.608855,40,733.0,105-R,0.604965,56,5401.0,10641-R,0.596863,40,2949.0,21006-R
108-S,svet,2023-06-23,202306,"['St. M.', 'STA']",417,0.599615,57,2946.0,21006-R,0.565042,58,5398.0,10641-R,0.554299,54,2420.0,10602-R
109-S,avtomoto,2023-06-23,202306,,1238,0.231042,33,2901.0,10612-R,0.230097,35,4364.0,5156-R,0.222285,30,4071.0,21014-R
